gname,gid,year,ystart,y_start,end,y_end,last_year,duration,base,income_level,num_base,EAP,ECA,LAC,MENA,NA,SAS,SSA,ethnic,language,religion,elevation,tropics,landlock,polity,regime_status,left,nat,rel,right,size,peak_size,lnpeaksize,ercsr,empire,rcsr,pch,sq,tch,mul_bases,pop,poppermillion,gdp,gdp_ppp,gdppercapita,gdppercapita_ppp,import,export,gov,tradeopenness2010usd,logelvation,terr_POP,GovernmentspendingGDP2010us,shr_trans,num_domestic,num_trans,total_atks,total_casualties,endstr,terrctrl,lead_hierarch,drugtk,diversity,num_kidnap,kidnap,state_sponsor_ever,state_sponsor,num_sponsor,social_service,public_service,num_allies,num_rivals,num_enemies,fate_leader,total_deaths,total_injuries,terr_deaths,terr_injuries,nonterr_deaths,nonterr_injuries,terr_casualties,nonterr_casualties,competitor,suicide
1920 Revolution Brigades,1,2003,2003,2003,0,,,1,Iraq,LM,1,0,0,0,1,0,0,0,0.3689,0.3694,0.4844,312.0478,0,0,,NF,0,0,1,0,,10,2.302585093,1,0,1,0,0,0,0,25627626,25.627626,64736488915,1.82842E+11,2526.043142,7134.574829,,,,,5.743156381,0,,0,0,0,0,0,0,,,,0,0,0,,,,9,,,,,0,0,0,0,0,0,0,0,0,7,0
1920 Revolution Brigades,1,2004,,2003,0,,,2,Iraq,LM,1,0,0,0,1,0,0,0,0.3689,0.3694,0.4844,312.0478,0,0,,NF,0,0,1,0,,10,2.302585093,1,0,1,0,0,0,0,26316609,26.316609,99796330468,2.81865E+11,3792.142463,10710.55506,,,,,5.743156381,0.075997633,,1,0,2,2,34,0,,,,0,0,0,,,,9,,,,,0,15,19,1,0,14,19,1,33,18,1
1920 Revolution Brigades,1,2005,,2003,0,,,3,Iraq,LM,1,0,0,0,1,0,0,0,0.3689,0.3694,0.4844,312.0478,0,0,,NF,0,0,1,0,,10,2.302585093,1,0,1,0,0,0,0,27008426,27.008426,1.04188E+11,2.94269E+11,3857.610405,10895.4632,,,,,5.743156381,0,,0,0,0,0,0,0,,,,0,0,0,,,,9,,,,,0,0,0,0,0,0,0,0,0,19,0
1920 Revolution Brigades,1,2006,,2003,0,,,4,Iraq,LM,1,0,0,0,1,0,0,0,0.3689,0.3694,0.4844,312.0478,0,0,,NF,0,0,1,0,,10,2.302585093,1,0,1,0,0,0,0,27697912,27.697912,1.14772E+11,3.24162E+11,4143.691703,11703.47332,,,,,5.743156381,0,,0,0,0,0,0,0,,,,0,0,0,,,,9,,,,,0,0,0,0,0,0,0,0,0,19,0
1920 Revolution Brigades,1,2007,,2003,1,2007,2007,5,Iraq,LM,1,0,0,0,1,0,0,0,0.3689,0.3694,0.4844,312.0478,0,0,,NF,0,0,1,0,,10,2.302585093,1,0,1,0,0,0,0,28390433,28.390433,1.16353E+11,3.28627E+11,4098.306627,11575.28738,,,,,5.743156381,0,,0,0,0,0,0,2,,,,0,0,0,,,,9,,,,,2,0,0,0,0,0,0,0,0,18,0
23rd of September Communist League,2,1973,1973,1973,0,,,1,Mexico,UM,1,0,0,1,0,0,0,0,0.5418,0.1511,0.1796,1110.936,0.4718198,0,-6,PF,1,0,0,0,,100,4.605170186,1,0,1,0,0,0,0,57280587,57.280587,3.39432E+11,,5925.773572,,35284157787,13571670364,35323561129,0.143934156,7.012958182,0,0.104066744,0,0,0,0,0,0,,,,0,0,0,,,,9,1,,,,0,0,0,0,0,0,0,0,0,1,
23rd of September Communist League,2,1974,,1973,0,,,2,Mexico,UM,1,0,0,1,0,0,0,0,0.5418,0.1511,0.1796,1110.936,0.4718198,0,-6,PF,1,0,0,0,,100,4.605170186,1,0,1,0,0,0,0,59088193,59.088193,3.5904E+11,,6076.343824,,41572567640,13541934015,37662137516,0.15350511,7.012958182,0.03384771,0.104896722,1,0,2,2,0,0,,,,0.5,1,1,,,,9,1,,,,1,0,0,0,0,0,0,0,0,1,
23rd of September Communist League,2,1975,,1973,0,,,3,Mexico,UM,1,0,0,1,0,0,0,0,0.5418,0.1511,0.1796,1110.936,0.4718198,0,-6,PF,1,0,0,0,,100,4.605170186,1,0,1,0,0,0,0,60872399,60.872399,3.79665E+11,,6237.066259,,39948003497,13849362131,42432610327,0.141696862,7.012958182,0.114994646,0.111763237,0.285714286,5,2,7,36,0,,,,0.244897959,1,1,,,,9,1,,,,1,32,4,0,0,32,4,0,36,1,
23rd of September Communist League,2,1976,,1973,0,,,4,Mexico,UM,1,0,0,1,0,0,0,0,0.5418,0.1511,0.1796,1110.936,0.4718198,0,-6,PF,1,0,0,0,,100,4.605170186,1,0,1,0,0,0,0,62623763,62.623763,3.96437E+11,,6330.451324,,37526801241,14856934248,45344779756,0.132136449,7.012958182,0.22355731,0.114380888,0.428571429,8,6,14,29,0,,,,0.62244898,4,1,,,,9,1,,,,0,24,5,0,0,24,5,0,29,1,
23rd of September Communist League,2,1977,,1973,0,,,5,Mexico,UM,1,0,0,1,0,0,0,0,0.5418,0.1511,0.1796,1110.936,0.4718198,0,-3,PF,1,0,0,0,,100,4.605170186,1,0,1,0,0,0,0,64345884,64.345884,4.09878E+11,,6369.9245,,30675323758,17563464978,45340000920,0.117690481,7.012958182,0.077705048,0.11061817,0.6,2,3,5,7,0,,,,0.64,2,1,,,,9,1,,,,2,7,0,0,0,7,0,0,7,1,
